AgencyName,OrganizationName,PositionTitle,PositionStatus,AppointmentTypeDescription,ExpirationDate,LevelGradePay,Location,IncumbentFirstName,IncumbentLastName,PaymentPlanDescription,Tenure,IncumbentBeginDate,IncumbentVacateDate
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - INDIAN AFFAIRS,ASSOCIATE CHIEF INFORMATION OFFICER,Filled,CA,,"$221,900","RESTON, VA",KEVIN,STURLAUGSON,ES,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - INDIAN AFFAIRS,CHIEF FINANCIAL OFFICER,Filled,CA,,"$212,731","RESTON, VA",DYLAN,ERICKSON,ES,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - INDIAN AFFAIRS,CHIEF OF STAFF TO THE ASSISTANT SECRETARY - INDIAN AFFAIRS,Filled,SC,,14,"Washington, DC",Janel,Broderick,GS,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - INDIAN AFFAIRS,DEPUTY ASSISTANT SECRETARY - INDIAN AFFAIRS,Filled,NA,,"$189,950","Washington, DC",KENNIS,BELLMARD,ES,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - INDIAN AFFAIRS,DEPUTY ASSISTANT SECRETARY - INDIAN AFFAIRS (MANAGEMENT),Filled,CA,,"$225,700","Washington, DC",JASON,FREIHAGE,ES,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - INDIAN AFFAIRS,"DIRECTOR, FACILITIES, PROPERTY AND SAFETY MANAGEMENT",Vacant,CA,,,"RESTON, VA",,,ES,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - INDIAN AFFAIRS,"DIRECTOR, OFFICE OF INDIAN GAMING MANAGEMENT",Vacant,CA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - INDIAN AFFAIRS,"DIRECTOR, OFFICE OF INDIAN GAMING MANAGEMENT",Filled,CA,,,"Washington, DC",PAULA,HART,ES,,2/28/2010 12:00:00 AM,1/31/2025 12:00:00 AM
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - INDIAN AFFAIRS,"DIRECTOR, OFFICE OF SELF-GOVERNANCE",Filled,CA,,"$217,227","Washington, DC",SHAREE,FREEMAN,ES,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - INDIAN AFFAIRS,PRINCIPAL DEPUTY ASSISTANT SECRETARY - INDIAN AFFAIRS,Vacant,NA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - INDIAN AFFAIRS,"PRINCIPAL DIRECTOR, EXTERNAL AFFAIRS",Filled,CA,,"$195,200","PHOENIX, AZ",WESLEY,PARRELL,ES,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - INDIAN AFFAIRS,SPECIAL ASSISTANT TO THE ASSISTANT SECRETARY - INDIAN AFFAIRS,Filled,SC,,7,"Washington, DC",KELLY,RAEL,GS,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - INSULAR AND INTERNATIONAL AFFAIRS,ASSISTANT SECRETARY - INSULAR AREAS,Vacant,PAS,,IV,"Washington, DC",,,EX,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - INSULAR AND INTERNATIONAL AFFAIRS,DEPUTY ASSISTANT SECRETARY- INSULAR AND INTERNATIONAL AFFAIRS,Filled,NA,,"$150,200","Washington, DC",ANGEL,DEMAPAN,ES,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - INSULAR AND INTERNATIONAL AFFAIRS,"DIRECTOR, OFFICE OF INSULAR AFFAIRS",Filled,CA,,"$204,352","Washington, DC",JOHN,BREWER,ES,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - INSULAR AND INTERNATIONAL AFFAIRS,PRINCIPAL DEPUTY ASSISTANT SECRETARY - INSULAR AND INTERNATIONAL AFFAIRS,Filled,NA,,"$195,200","Washington, DC",William,Hague,ES,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - INSULAR AND INTERNATIONAL AFFAIRS,"SPECIAL ADVISOR, OFFICE OF INSULAR AND INTERNATIONAL AFFAIRS",Filled,SC,,11,"Washington, DC",JUSTIN,RHEE,GS,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - INSULAR AND INTERNATIONAL AFFAIRS,"SPECIAL ASSISTANT, OFFICE OF INSULAR AND INTERNATIONAL AFFAIRS",Filled,SC,,7,"Washington, DC",Anna,Kriebel,GS,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - LAND AND MINERALS MANAGEMENT,ADVISOR FOR EXTERNAL AFFAIRS,Filled,SC,,15,"Washington, DC",BRITTANY,KELM,GS,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - LAND AND MINERALS MANAGEMENT,ASSISTANT SECRETARY-LAND AND MINERALS MANAGEMENT,Vacant,PAS,,IV,"Washington, DC",,,EX,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - LAND AND MINERALS MANAGEMENT,"COUNSELOR, ASSISTANT SECRETARY - LAND AND MINERALS MANAGEMENT",Filled,SC,,15,"Washington, DC",DRUE,PEARCE,GS,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - LAND AND MINERALS MANAGEMENT,DEPUTY ASSISTANT SECRETARY - LAND AND MINERALS MANAGEMENT,Vacant,NA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - LAND AND MINERALS MANAGEMENT,DEPUTY ASSISTANT SECRETARY - LAND AND MINERALS MANAGEMENT,Vacant,NA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - LAND AND MINERALS MANAGEMENT,PRINCIPAL DEPUTY ASSISTANT SECRETARY - LAND AND MINERALS MANAGEMENT,Filled,NA,,"$195,200","Washington, DC",ADAM,SUESS,ES,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - LAND AND MINERALS MANAGEMENT,"SENIOR ADVISOR, OFFICE OF LAND AND MINERALS MANAGEMENT",Filled,SC,,15,"Washington, DC",MARGARET,ANDERSON,GS,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - LAND AND MINERALS MANAGEMENT,"SPECIAL ASSISTANT, OFFICE OF LAND AND MINERALS MANAGEMENT",Filled,SC,,11,"Washington, DC",CARTER,BOYCE,GS,,,
DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET","ADVISOR, OFFICE OF POLICY, MANAGEMENT, AND BUDGET",Filled,SC,,14,"Washington, DC",MATTHEW,LUBY,GS,,4/20/2025 12:00:00 AM,5/17/2025 12:00:00 AM
DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET","ADVISOR, OFFICE OF POLICY, MANAGEMENT, AND BUDGET",Filled,SC,,14,"Washington, DC",MATTHEW,LUBY,GS,,4/20/2025 12:00:00 AM,5/17/2025 12:00:00 AM
DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",ASSISTANT SECRETARY - POLICY MANAGEMENT AND BUDGET,Vacant,PAS,,IV,"Washington, DC",,,EX,,,
DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",ASSOCIATE DIRECTOR - ASSET MANAGEMENT,Filled,CA,,"$220,576","Washington, DC",ROBERT,RUSHING,ES,,,
DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",DEPUTY ASSISTANT SECRETARY - ADMINISTRATIVE SERVICES,Filled,CA,,"$225,700","Washington, DC",JACQUELINE,JONES,ES,,,
DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET","DEPUTY ASSISTANT SECRETARY - HUMAN CAPITAL, LEARNING AND SAFETY",Filled,CA,,"$225,700","Washington, DC",MARK,GREEN,ES,,9/25/2022 12:00:00 AM,6/23/2025 12:00:00 AM
DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET","DEPUTY ASSISTANT SECRETARY - HUMAN CAPITAL, LEARNING AND SAFETY",Filled,CA,,"$225,700","Washington, DC",MARK,GREEN,ES,,,
DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET","DEPUTY ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",Filled,NA,,"$150,160","Washington, DC",EVA,VRANA,ES,,,
DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",DEPUTY ASSISTANT SECRETARY &ndash; NATURAL RESOURCES AND INFRASTRUCTURE,Filled,NA,,"$165,000","Washington, DC","Jeremy ",Arendt,ES,,,
DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",DEPUTY CHIEF INFORMATION OFFICER - RESOURCE MANAGEMENT,Filled,CA,,"$192,547","Washington, DC",NATHALIE,STEVENS,ES,,,
DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET","DEPUTY DIRECTOR, AUDIT AND INTERNAL CONTROLS",Filled,CA,,"$198,832","Washington, DC",NAZNIN,RAHMAN,ES,,,
DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET","DEPUTY DIRECTOR, BUSINESS INTEGRATION OFFICE",Filled,CA,,"$198,091","Washington, DC","KIMBERLY ",FIX,ES,,,
DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET","DEPUTY DIRECTOR, OFFICE OF CIVIL RIGHTS",Filled,CA,,"$191,181","Washington, DC",SHAYAN,MODARRES,ES,,12/1/2024 12:00:00 AM,6/23/2025 12:00:00 AM
DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET","DEPUTY DIRECTOR, OFFICE OF CIVIL RIGHTS",Filled,CA,,"$191,181","Washington, DC",SHAYAN,MODARRES,ES,,,
DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET","DIRECTOR, BIPARTISAN INFRASTRUCTURE LAW PROGRAM MANAGEMENT OFFICE",Filled,CA,,"$221,900","Washington, DC",SCOTT,DE LA VEGA,ES,,,
DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET","DIRECTOR, BUSINESS INTEGRATION OFFICE",Filled,CA,,"$220,322","LAKEWOOD, CO",KATHERINE,MCCULLOCH,ES,,,
DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET","DIRECTOR, GREAT AMERICAN OUTDOORS PROGRAM OFFICE",Filled,CA,,"$221,900","Washington, DC",BRIAN,BLOODSWORTH,ES,,,
DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET","DIRECTOR, GULF OF AMERICA RESTORATION",Filled,CA,,"$225,700","Washington, DC",MARY,BLANCHARD,ES,,7/9/2017 12:00:00 AM,6/23/2025 12:00:00 AM
DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET","DIRECTOR, GULF OF AMERICA RESTORATION",Filled,CA,,"$225,700","Washington, DC",MARY,BLANCHARD,ES,,,
DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET","DIRECTOR, OFFICE OF AVIATION SERVICES",Filled,CA,,"$206,107","BOISE, ID",SUSAN,BATES,ES,,,
DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET","DIRECTOR, OFFICE OF ENVIRONMENTAL POLICY AND COMPLIANCE",Filled,CA,,"$216,049","Washington, DC","STEPHEN ",TRYON,ES,,,
DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET","DIRECTOR, OFFICE OF FACILITIES AND ADMINISTRATIVE SERVICES",Filled,CA,,"$225,700","Washington, DC",MICHAEL,RUSTEN,ES,,,
DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET","DIRECTOR, OFFICE OF PLANNING AND PERFORMANCE MANAGEMENT",Filled,CA,,"$214,484","Washington, DC",PATRICIA,CURRIER,ES,,,
DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET","DIRECTOR, OFFICE OF POLICY ANALYSIS",Vacant,CA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET","DIRECTOR, OFFICE OF POLICY ANALYSIS",Filled,CA,,,"Washington, DC",JACOB,MALCOM,ES,,1/18/2022 12:00:00 AM,2/18/2025 12:00:00 AM
DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET","DIRECTOR, OFFICE OF RESTORATION AND DAMAGE ASSESSMENT",Filled,CA,,"$191,345","Washington, DC",EMILY,JOSEPH,ES,,,
DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET","DIRECTOR, OFFICE OF WILDLAND FIRE ",Filled,CA,,"$225,700","Washington, DC",JEFFREY,RUPERT,ES,,,
DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",ORPHAN WELLS DIRECTOR,Filled,CA,,"$211,900","LONG BEACH, CA",KIMBRA,DAVIS,ES,,,
DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET","PRINCIPAL DEPUTY ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",Filled,NA,,"$167,603","Washington, DC",TYLER,HASSEN,ES,,,
DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET",SENIOR ADVISOR,Filled,SC,,14,"Washington, DC",MATTHEW,LUBY,GS,,,
DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET","SENIOR ADVISOR, AS-PMB",Filled,SC,,15,"Washington, DC",JOSEPH,STOPPER,GS,,,
DEPARTMENT OF THE INTERIOR,"ASSISTANT SECRETARY - POLICY, MANAGEMENT AND BUDGET","SENIOR ADVISOR, OFFICE OF BUDGET",Filled,CA,,,"Washington, DC",ADRIANNE,MOSS,ES,,1/12/2025 12:00:00 AM,2/22/2025 12:00:00 AM
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - WATER AND SCIENCE,ASSISTANT SECRETARY - WATER AND SCIENCE,Vacant,PAS,,IV,"Washington, DC",,,EX,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - WATER AND SCIENCE,DEPUTY ASSISTANT SECRETARY - WATER AND SCIENCE,Vacant,NA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - WATER AND SCIENCE,DEPUTY ASSISTANT SECRETARY- WATER AND SCIENCE,Vacant,NA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - WATER AND SCIENCE,PRINCIPAL DEPUTY ASSISTANT SECRETARY - WATER AND SCIENCE,Filled,NA,,"$195,200","Washington, DC",SCOTT,CAMERON,ES,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - WATER AND SCIENCE,SENIOR ADVISOR,Filled,SC,,14,"Washington, DC",DUSTIN,SHERER,GS,,,
DEPARTMENT OF THE INTERIOR,ASSISTANT SECRETARY - WATER AND SCIENCE,"SPECIAL ASSISTANT, OFFICE OF WATER AND SCIENCE",Filled,SC,,11,"Washington, DC",SAMUEL,NELSON,GS,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF INDIAN AFFAIRS,"DEPUTY BUREAU DIRECTOR, INDIAN SERVICES",Filled,CA,,"$202,009","Washington, DC",GENEVIEVE,GIACCARDO,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF INDIAN AFFAIRS,DEPUTY DIRECTOR - JUSTICE SERVICES,Filled,CA,,"$196,198","ALBUQUERQUE, NM",LOUIS,POITRA,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF INDIAN AFFAIRS,"DEPUTY DIRECTOR, FIELD OPERATIONS",Filled,CA,,"$225,700","ALBUQUERQUE, NM",BARTHOLOMEW,STEVENS,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF INDIAN AFFAIRS,"DEPUTY DIRECTOR, TRUST SERVICES",Filled,CA,,"$220,229","Washington, DC",JOHNNA,BLACKHAIR,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF INDIAN AFFAIRS,"DIRECTOR, BUREAU OF INDIAN AFFAIRS",Filled,CA,,"$225,700","BILLINGS, MT",BRYAN,MERCIER,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF INDIAN AFFAIRS,DIRECTORATE OF ENVIRONMENTAL AND NATURAL RESOURCES MANAGEMENT,Filled,CA,,"$177,362","ALBUQUERQUE, NM",TRINA,LOCKE,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF INDIAN AFFAIRS,PRINCIPAL DEPUTY BUREAU DIRECTOR - JUSTICE SERVICES,Filled,CA,,"$225,700","Washington, DC",CHARLES,ADDINGTON,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF INDIAN EDUCATION,ASSOCIATE DEPUTY DIRECTOR FOR POSTSECONDARY EDUCATION,Filled,CA,,"$205,254","TULSA, OK",STEPHANIE,CONDUFF,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF INDIAN EDUCATION,DIRECTOR - BUREAU OF INDIAN EDUCATION,Filled,CA,,"$225,700","Washington, DC",TONY,DEARMAN,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF INDIAN EDUCATION,"PRESIDENT, SOUTHWESTERN INDIAN POLYTECHNIC INSTITUTE",Filled,CA,,"$130,189","ALBUQUERQUE, NM",TAMARAH,PFEIFFER,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF LAND MANAGEMENT,"ADVISOR FOR PUBLIC LANDS, BLM",Filled,SC,,15,"Washington, DC",Brenda,Younkin,GS,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF LAND MANAGEMENT,"ASSISTANT DIRECTOR, BUSINESS AND ADMINISTRATION",Filled,CA,,"$225,700","GRAND JUNCTION, CO",BARBARA,EGGERS,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF LAND MANAGEMENT,"ASSISTANT DIRECTOR, COMMUNICATIONS AND PUBLIC RELATIONS",Filled,CA,,"$202,290","GRAND JUNCTION, CO",JEFFREY,KRAUSS,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF LAND MANAGEMENT,"ASSISTANT DIRECTOR, ENERGY, MINERALS AND REALTY MANAGEMENT",Filled,CA,,"$204,274","GRAND JUNCTION, CO",DAVID,ROSENKRANCE,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF LAND MANAGEMENT,"ASSISTANT DIRECTOR, FIRE AND AVIATION",Filled,CA,,"$209,333","BOISE, ID",GRANT,BEEBE,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF LAND MANAGEMENT,"ASSISTANT DIRECTOR, NATIONAL CONSERVATION LANDS AND COMMUNITY PARTNERSHIPS",Filled,CA,,"$196,666","GRAND JUNCTION, CO",THOMAS,HEINLEIN,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF LAND MANAGEMENT,"ASSISTANT DIRECTOR, RESOURCES AND PLANNING",Filled,CA,,"$202,290","GRAND JUNCTION, CO",SHARIF,BRANHAM,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF LAND MANAGEMENT,ASSOCIATE CHIEF INFORMATION OFFICER,Filled,CA,,"$213,030","Washington, DC",JAMES,ROLFES,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF LAND MANAGEMENT,DEPUTY DIRECTOR FOR ADMINISTRATION AND PROGRAMS,Filled,CA,,"$225,700","Washington, DC",MICHAEL,NEDD,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF LAND MANAGEMENT,DEPUTY DIRECTOR FOR STATE OPERATIONS,Filled,CA,,"$201,495","Washington, DC",KAREN,KELLEHER,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF LAND MANAGEMENT,DIRECTOR BUREAU OF LAND MANAGEMENT,Vacant,PAS,,V,"Washington, DC",,,EX,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF LAND MANAGEMENT,PRINCIPAL DEPUTY DIRECTOR,Filled,NA,,"$167,603","Washington, DC",William,Groffy,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF LAND MANAGEMENT,PROGRAM EXECUTIVE FOR INTERGOVERNMENTAL AND EXTERNAL AFFAIRS,Filled,CA,,"$165,360","GRAND JUNCTION, CO",JOHN,GALE,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF LAND MANAGEMENT,SENIOR ADVISOR,Filled,CA,,,"Washington, DC",RICHARD,MYERS,ES,,11/7/2021 12:00:00 AM,3/7/2025 12:00:00 AM
DEPARTMENT OF THE INTERIOR,BUREAU OF LAND MANAGEMENT,"SENIOR ADVISOR, BUREAU OF LAND MANAGEMENT",Filled,SC,,14,"Washington, DC",RYAN,HOFMANN,GS,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF OCEAN ENERGY MANAGEMENT,CHIEF ENVIRONMENTAL OFFICER,Filled,CA,,"$223,595","Washington, DC",JILL,LEWANDOWSKI,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF OCEAN ENERGY MANAGEMENT,DEPUTY DIRECTOR,Filled,CA,,"$225,700","Washington, DC",WALTER,CRUICKSHANK,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF OCEAN ENERGY MANAGEMENT,"DIRECTOR, BUREAU OF OCEAN ENERGY MANAGEMENT",Vacant,NA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF OCEAN ENERGY MANAGEMENT,PRINCIPAL DEPUTY DIRECTOR BOEM,Filled,NA,,"$185,000","Washington, DC",MATTHEW,GIACONA,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF OCEAN ENERGY MANAGEMENT,"PROGRAM MANAGER, OFFICE OF BUDGET AND PROGRAM COORDINATION",Filled,CA,,"$225,700","Washington, DC",JAMES,ANDERSON,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF OCEAN ENERGY MANAGEMENT,RENEWABLE ENERGY PROGRAM MANAGER,Filled,CA,,,"Washington, DC",KAREN,BAKER,ES,,7/3/2022 12:00:00 AM,4/30/2025 12:00:00 AM
DEPARTMENT OF THE INTERIOR,BUREAU OF OCEAN ENERGY MANAGEMENT,"SENIOR ADVISOR TO THE DIRECTOR, BOEM",Filled,SC,,15,"Washington, DC",Jordan,Christman,GS,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF RECLAMATION,COMMISSIONER BUREAU OF RECLAMATION,Vacant,PAS,,V,"Washington, DC",,,EX,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF RECLAMATION,DEPUTY COMMISSIONER,Vacant,NA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF RECLAMATION,DEPUTY COMMISSIONER - OPERATIONS,Filled,CA,,"$225,700","Washington, DC",DAVID,PALUMBO,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF RECLAMATION,"DEPUTY COMMISSIONER - PROGRAM, ADMINISTRATION AND BUDGET",Vacant,CA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF RECLAMATION,"DIRECTOR, OFFICE OF COMMUNICATIONS",Filled,CA,,"$200,015","Washington, DC",ROBERT,MANNING,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF RECLAMATION,"DIRECTOR, PROGRAM AND BUDGET",Filled,CA,,"$211,090","Washington, DC",MARIE,HUGHES-BROWN,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF RECLAMATION,SENIOR ADVISOR,Filled,SC,,13,"Washington, DC",LINNEA,MELBYE,GS,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF SAFETY AND ENVIRONMENTAL ENFORCEMENT,ASSOCIATE DIRECTOR FOR ADMINISTRATION,Vacant,CA,,,"STERLING, VA",,,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF SAFETY AND ENVIRONMENTAL ENFORCEMENT,DEPUTY DIRECTOR,Filled,CA,,"$225,700","Washington, DC",PAUL,HUANG,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF SAFETY AND ENVIRONMENTAL ENFORCEMENT,"DIRECTOR, BUREAU OF SAFETY AND ENVIRONMENTAL ENFORCEMENT",Vacant,NA,,,"Washington, DC",,,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF SAFETY AND ENVIRONMENTAL ENFORCEMENT,PRINCIPAL DEPUTY DIRECTOR,Filled,NA,,"$175,000","Washington, DC",KENNETH,STEVENS,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF TRUST FUNDS ADMINISTRATION,DEPUTY BUREAU DIRECTOR TRUST OPERATIONS-ACCOUNTING,Filled,CA,,"$167,199","ALBUQUERQUE, NM",ROBERT,CRAFF,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF TRUST FUNDS ADMINISTRATION,DEPUTY BUREAU DIRECTOR TRUST OPERATIONS-FIELD,Filled,CA,,"$221,900","ALBUQUERQUE, NM",KEVIN,BEARQUIVER,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF TRUST FUNDS ADMINISTRATION,DIRECTOR BUREAU OF TRUST FUNDS ADMINISTRATION,Filled,CA,,"$221,900","Washington, DC",JEROLD,GIDNER,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF TRUST FUNDS ADMINISTRATION,"DIRECTOR, OFFICE OF THE BENEFICIARY EXPERIENCE",Filled,CA,,"$221,900","ALBUQUERQUE, NM",THOMAS,REYNOLDS,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF TRUST FUNDS ADMINISTRATION,"DIRECTOR, OFFICE OF TRUST RISK, EVALUATION AND COMPLIANCE",Filled,CA,,"$211,264","ALBUQUERQUE, NM",JASON,BRUNO,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF TRUST FUNDS ADMINISTRATION,"PRINCIPAL DEPUTY BUREAU DIRECTOR, TRUST OPERATIONS",Filled,CA,,"$180,208","ALBUQUERQUE, NM",DANELLE,MCQUILLEN,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF TRUST FUNDS ADMINISTRATION,REGIONAL TRUST DIRECTOR,Filled,CA,,"$221,900","ARLEE, MT",DEBRA,DUMONTIER,ES,,,
DEPARTMENT OF THE INTERIOR,BUREAU OF TRUST FUNDS ADMINISTRATION,REGIONAL TRUST DIRECTOR,Vacant,CA,,,"ALBUQUERQUE, NM",,,ES,,,
